name,url,headquarters,founded,website,employees,lat,lon,country
Moonshot AI,https://en.wikipedia.org/wiki/Moonshot_AI,"Beijing, China",2023,https://www.moonshot.ai/,200.0,39.9057136,116.3912972,中国
SenseTime,https://en.wikipedia.org/wiki/SenseTime,"Science Park, Hong Kong",2014,https://www.sensetime.com,3.0,22.4241458,114.2115072,中国
StepFun,https://en.wikipedia.org/wiki/StepFun,"Shanghai, China",2023,https://www.stepfun.com,,31.2312707,121.4700152,中国
Zhipu AI,https://en.wikipedia.org/wiki/Zhipu_AI,"Beijing, China",2019,https://zhipuai.cn/,800.0,39.9057136,116.3912972,中国
Artisse AI,https://en.wikipedia.org/wiki/Artisse_AI,"Sheung Wan, Hong Kong",2022,http://artisse.ai/,,22.2865158,114.150208,中国
Haptik,https://en.wikipedia.org/wiki/Haptik,"Mumbai, India",2013,,196.0,19.054999,72.8692035,India
Sarvam AI,https://en.wikipedia.org/wiki/Sarvam_AI,"Bengaluru, Karnataka, India",2023,https://www.sarvam.ai/,,12.9767936,77.590082,India
NeuralGarage,https://en.wikipedia.org/wiki/NeuralGarage,"Bangalore, India",2021,https://visualdub.ai,,12.9767936,77.590082,India
AI21 Labs,https://en.wikipedia.org/wiki/AI21_Labs,"Tel Aviv, Israel",2017,https://ai21.com,,32.0852997,34.7818064,ישראל
Hailo Technologies,https://en.wikipedia.org/wiki/Hailo_Technologies,"82 Yigal Alon St. Tel-Aviv, Israel",2017,https://www.hailo.ai,,,,Unknown
Sakana AI,https://en.wikipedia.org/wiki/Sakana_AI,"Tokyo, Japan",2023,https://sakana.ai/,20.0,35.6768601,139.7638947,日本
Humain,https://en.wikipedia.org/wiki/Humain,"Riyadh, Saudi Arabia",2025,http://humain.ai,,23.333333,45.333333,السعودية
Upstage,https://en.wikipedia.org/wiki/Upstage_(company),"Yongin, South Korea",2020,https://www.upstage.ai/,,37.2405741,127.1785572,대한민국
G42,https://en.wikipedia.org/wiki/G42_(company),"Abu Dhabi, United Arab Emirates",2018,https://g42.ai/,25.0,24.4538352,54.3774014,الإمارات العربية المتحدة
Art Recognition,https://en.wikipedia.org/wiki/Art_Recognition,,2019,https://www.art-recognition.com/,,,,Unknown
Dataiku,https://en.wikipedia.org/wiki/Dataiku,"New York City, United States",2013,http://dataiku.com,1.0,40.7127281,-74.0060152,United States
H Company,https://en.wikipedia.org/wiki/H_(company),"Paris, France",2023,http://hcompany.ai/,90.0,48.8534951,2.3483915,France
LightOn,https://en.wikipedia.org/wiki/LightOn,"Paris, France",2016,https://lighton.ai,41.0,48.8534951,2.3483915,France
Linagora,https://en.wikipedia.org/wiki/Linagora,"Paris, France",2000,https://www.linagora.com/,200.0,48.8534951,2.3483915,France
Mistral AI,https://en.wikipedia.org/wiki/Mistral_AI,"Paris, France",2023,https://mistral.ai/,350.0,48.8534951,2.3483915,France
Owkin,https://en.wikipedia.org/wiki/Owkin,"Paris, France",2016,https://owkin.com,350.0,48.8534951,2.3483915,France
Poolside AI,https://en.wikipedia.org/wiki/Poolside_AI,"San Francisco, United States",2023,https://poolside.ai,,37.7879363,-122.4075201,United States
Aleph Alpha,https://en.wikipedia.org/wiki/Aleph_Alpha,"Heidelberg, Germany",2019,https://aleph-alpha.com/,51.0,49.4093582,8.694724,Deutschland
DeepL,https://en.wikipedia.org/wiki/DeepL,"Cologne, North Rhine-Westphalia, Germany",,,,50.938361,6.959974,Deutschland
Axelera AI,https://en.wikipedia.org/wiki/Axelera_AI,,,,,,,Unknown
1X Technologies,https://en.wikipedia.org/wiki/1X_Technologies,,,,,,,Unknown
Lovable,https://en.wikipedia.org/wiki/Lovable_(company),"Stockholm, Sweden",2023,https://lovable.dev/,120.0,59.3251172,18.0710935,Sverige
Respeecher,https://en.wikipedia.org/wiki/Respeecher,"Kyiv, Ukraine",2018,https://www.respeecher.com/,,50.4500336,30.5241361,Україна
DeepMind,https://en.wikipedia.org/wiki/Google_DeepMind,"London, England",2010,https://deepmind.google/,6.0,51.5074456,-0.1277653,United Kingdom
Gradient Labs,https://en.wikipedia.org/wiki/Gradient_Labs,London,2023,https://gradient-labs.ai/,,51.5074456,-0.1277653,United Kingdom
Isomorphic Labs,https://en.wikipedia.org/wiki/Isomorphic_Labs,"London, United Kingdom",2021,https://www.isomorphiclabs.com,,51.5074456,-0.1277653,United Kingdom
Mind Foundry,https://en.wikipedia.org/wiki/Mind_Foundry,"Oxford, Oxfordshire, United Kingdom",2016,https://www.mindfoundry.ai/,75.0,51.7520131,-1.2578499,United Kingdom
Peak,https://en.wikipedia.org/wiki/Peak_(company),"Manchester, England",2015,http://peak.ai,,53.4794892,-2.2451148,United Kingdom
Stability AI,https://en.wikipedia.org/wiki/Stability_AI,"London, England, UK",2019,https://stability.ai/,170.0,51.5074456,-0.1277653,United Kingdom
Synthesia,https://en.wikipedia.org/wiki/Synthesia_(company),"London, United Kingdom",2017,https://www.synthesia.io,550.0,51.5074456,-0.1277653,United Kingdom
