name,url,headquarters,founded,website,employees
Humain,https://en.wikipedia.org/wiki/Humain,"Riyadh, Saudi Arabia",2025,http://humain.ai,
Upstage,https://en.wikipedia.org/wiki/Upstage_(company),"Yongin, South Korea",2020,https://www.upstage.ai/,
G42,https://en.wikipedia.org/wiki/G42_(company),"Abu Dhabi, United Arab Emirates",2018,https://g42.ai/,25.0
Art Recognition,https://en.wikipedia.org/wiki/Art_Recognition,,2019,https://www.art-recognition.com/,
Dataiku,https://en.wikipedia.org/wiki/Dataiku,"New York City, United States",2013,http://dataiku.com,1.0
H Company,https://en.wikipedia.org/wiki/H_(company),"Paris, France",2023,http://hcompany.ai/,90.0
LightOn,https://en.wikipedia.org/wiki/LightOn,"Paris, France",2016,https://lighton.ai,41.0
Linagora,https://en.wikipedia.org/wiki/Linagora,"Paris, France",2000,https://www.linagora.com/,200.0
Mistral AI,https://en.wikipedia.org/wiki/Mistral_AI,"Paris, France",2023,https://mistral.ai/,350.0
Owkin,https://en.wikipedia.org/wiki/Owkin,"Paris, France",2016,https://owkin.com,350.0
Poolside AI,https://en.wikipedia.org/wiki/Poolside_AI,"San Francisco, United States",2023,https://poolside.ai,
Aleph Alpha,https://en.wikipedia.org/wiki/Aleph_Alpha,"Heidelberg, Germany",2019,https://aleph-alpha.com/,51.0
DeepL,https://en.wikipedia.org/wiki/DeepL,"Cologne, North Rhine-Westphalia, Germany",,,
Axelera AI,https://en.wikipedia.org/wiki/Axelera_AI,,,,
1X Technologies,https://en.wikipedia.org/wiki/1X_Technologies,,,,
Lovable,https://en.wikipedia.org/wiki/Lovable_(company),"Stockholm, Sweden",2023,https://lovable.dev/,120.0
Respeecher,https://en.wikipedia.org/wiki/Respeecher,"Kyiv, Ukraine",2018,https://www.respeecher.com/,
DeepMind,https://en.wikipedia.org/wiki/Google_DeepMind,"London, England",2010,https://deepmind.google/,6.0
Gradient Labs,https://en.wikipedia.org/wiki/Gradient_Labs,London,2023,https://gradient-labs.ai/,
Isomorphic Labs,https://en.wikipedia.org/wiki/Isomorphic_Labs,"London, United Kingdom",2021,https://www.isomorphiclabs.com,
Mind Foundry,https://en.wikipedia.org/wiki/Mind_Foundry,"Oxford, Oxfordshire, United Kingdom",2016,https://www.mindfoundry.ai/,75.0
Peak,https://en.wikipedia.org/wiki/Peak_(company),"Manchester, England",2015,http://peak.ai,
Stability AI,https://en.wikipedia.org/wiki/Stability_AI,"London, England, UK",2019,https://stability.ai/,170.0
Synthesia,https://en.wikipedia.org/wiki/Synthesia_(company),"London, United Kingdom",2017,https://www.synthesia.io,550.0
Lists of open-source artificial intelligence software,https://en.wikipedia.org/wiki/Lists_of_open-source_artificial_intelligence_software,,,,
